"","x"
"17767","I love both of them but would love this white top with khaki crops!"
"17768","THIS lace top please. Perfect for my next holiday <U+2600><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BF><U+0096><ed><U+00A0><U+00BC><ed><U+00BC><U+0085> #WINIT Xx"
"17769","I love them both, but if I had to choose, it would be the white one."
"17770","Absolutely LOVE the lace trim cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Would love to win it xx"
"17771","THIS lace trim cami, would go with so many different things x"
"17772","This lace trim came is gorgeous. Would be perfect on my holiday :)."
"17773","THAT please love the coral colour. 
Linda Keal Alison Burns"
"17774","Love them both but think 'that'has the edge! Laura Juggins xxx"
"17775","It would be the perfect Wednesday if I could win.....
The lovely white oasis Cami with the lace trim...."
"17776","THAT coral top is a must have for summer. Versatile and goes with everything. It's on my wish list."
"17777","They are both gorgeous but I love the colour of the coral top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WinIt"
"17778","Absolutely <U+2661> the lace trim cami <U+2661><U+2661><U+2661><U+2661>
Gorgeous giveaway liked shared thanks for the chance x"
"17779","THIS lace trim cami looks super-cool although in truth I love both tops! Shoulders rule for SS17! #WINIT"
"17780","I prefer THAT cute coral top. Great prize. Liked and Shared. Good luck everyone!"
"17781","That please. My girlfriend would be so happy with me if I won."
"17782","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> liked and Happily shared <ed><U+00A0><U+00BC><ed><U+00BD><U+0080> Pam Smith"
"17783","I love that x"
"17784","THIS I already have the THAT option <ed><U+00A0><U+00BD><ed><U+00B9><U+008A>"
"17785","THIS lace trim cami please xx"
"17786","This lace trim cami would be my choice :) #WINIT"
"17787","That please! Love the colour!"
"17788","THIS for me"
"17789","This!"
"17790","Ooh tricky one!! I'm going for THIS lace trim cami xxx"
"17791","The cute coral too ..b perfect with a tan in ibiza <U+2764>"
"17792","This lace trim cami but I do love both #WINIT"
"17793","THIS .......please.

Thanks for the chance <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"17794","I prefer THIS (Coral clashes with my hair)"
"17795","the coral top"
"17796","I <3 THAT cute coral top :)"
"17797","I'd wear this lace trim cami"
"17798","THIS please x"
"17799","This xx"
"17800","THAT cute coral top as i love the colour <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17801","That coral top #winit"
"17802","That coral top 
Liked & shared"
"17803","THIS lace trim cami would be perfect for  my holiday"
"17804","This or that I can't decide! This, this I think  <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"
"17805","THAT Coral top looks divine xxx"
"17806","THAT cute coral top"
"17807","This please x"
"17808","THIS lace trim cami!! Is perfect for summer <ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"17809","That.  Love the colour"
"17810","Oh I love both but I think I would choose THAT"
"17811","Love THIS"
"17812","THIS look great with those shoes / trousers also !"
"17813","THIS.....love the lace trim one"
"17814","That coral top is gorgeous <ed><U+00A0><U+00BC><ed><U+00BE><U+0080>"
"17815","Thats for me <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"17816","That coral top"
"17817","Love the coral top but the other one is nice x"
"17818","Love both but This just wins it for me<ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"17819","This the white top although would wear both <U+2764><U+FE0F>"
"17820","THIS Lace Cami <3"
"17821","That coral top. The color is fabulous."
"17822","This!"
"17823","This! <3"
"17824","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17825","THAT cute coral top <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>
My favourite colour and style xx"
"17826","THIS lace trim cami"
"17827","This (white )is gorgeous"
"17828","Loving THAT<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"17829","That <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"17830","THIS lace trim cami  x"
"17831","THAT the cute coral top xx"
"17832","This!!"
"17833","THIS please! It is Fab-u-lous!"
"17834","This please"
"17835","This and that are both gorgeous to hard to choose!"
"17836","THIS  :-)"
"17837","I really like the lace trim cami cute <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"17838","THIS <3"
"17839","This as I prefer the colour but both are pretty!"
"17840","This  .. so on trend and would go with anything <U+2764>"
"17841","THAT is gorgeous <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> <ed><U+00A0><U+00BD><ed><U+00B1><U+009A> would love to win it !"
"17842","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><U+FE0F><U+FE0F><U+2764><U+FE0F>"
"17843","This <ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"17844","#THIS"
"17845","That -coral, love it!"
"17846","Love them both but white one is my fav"
"17847","This lace trim Cami is my favourite"
"17848","That :-)
Love the ruffles :-)"
"17849","#THAT coral top! Love coral in the summer!"
"17850","Both would be purchased! Beautiful tops!"
"17851","That Coral top <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"17852","This love it xx"
"17853","That cute coral top definitely hmmmm <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><U+2600><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BE><ed><U+00B6><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+008B>"
"17854","THIS, such a cute top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> x"
"17855","Love This lace trim cami"
"17856","This <U+2764>"
"17857","That! Love coral"
"17858","THAT #WINIT"
"17859","That!! Beautiful colour. Perfect for the summer xx"
"17860","The cute coral top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17861","This <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"17862","THIS lace trim cami is gorgeous!! <3 xx"
"17863","THAT x"
"17864","This :)"
"17865","I love THIS lace trim cami"
"17866","That coral top"
"17867","<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> the coral top is devine"
"17868","THIS,absolutely stunning <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17869","This :)"
"17870","Love them both but if i won This the white one <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17871","That please"
"17872","Definitley THIS, love white clothing in the summer."
"17873","This :)"
"17874","THIS very nice"
"17875","This xx"
"17876","This love the whole casual look of the outfit x"
"17877","Ohhhh I love THAT!"
"17878","This is fantastic <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"17879","Cute coral love the colour <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"17880","that coral"
"17881","I love THAT cute coral top- gorgeous colour x"
"17882","cant choose!!! I think the white one :)"
"17883","I love both but THAT is my favourite of the two <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"17884","Both are gorgeous but I'll go with the coral one <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"17885","Love This lace cami <ed><U+00A0><U+00BD><ed><U+00B2><U+009E>"
"17886","This is lovely would go with lots of thing"
"17887","that please"
"17888","Love the coral top! My fav summery coloir"
"17889","Definitely this cold shoulder top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17890","This <ed><U+00A0><U+00BD><ed><U+00B2><U+009D>"
"17891","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17892","This please 
Liked following n shared"
"17893","I love both but think I would choose THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"17894","Love this please"
"17895","White top with those lovely and cool bottoms"
"17896","THAT cute coral top :)"
"17897","Love the Lace Trim Cami.
Count me in please <U+263A>
#Everythingcrossed"
"17898","THIS lace trim please <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17899","Oh I love THAT coral top!"
"17900","THAT! Adore the coral top xx"
"17901","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17902","Definitely the coral x"
"17903","I love THIS lace trim cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><U+2600><U+FE0F>"
"17904","This. It's so fresh and pretty."
"17905","THAT  love the colour."
"17906","THIS lace trim cami, please! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> Fab! <U+2764><U+FE0F>"
"17907","This it is fab like and shared"
"17908","That. How can something be so casual yet so sexy <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> xx"
"17909","THIS lace trim cami ."
"17910","THAT cute coral top x"
"17911","I like THAT today, my colour <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"17912","That cute Coral top"
"17913","I would choose THIS."
"17914","THAT cute coral top"
"17915","Oooh THIS lace is gorgeous #WINIT x"
"17916","THAT <U+2764><U+FE0F>"
"17917","I have this which I love so I'd love that please."
"17918","THAT..... Looks gorgeous with skinny white jeans. #WINIT"
"17919","This lace trim cami top. Love it, very versatile xx"
"17920","THAT <3  #winit"
"17921","That is just lovely!!! <U+263A><U+FE0F>"
"17922","THAT! I love your Bardot tops vx"
"17923","This please"
"17924","THAT cute coral please"
"17925","That coral. Put your hands together!!"
"17926","Love THAT. Colour is gorgeous <U+2764><U+FE0F> X"
"17927","This lace trim cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17928","I love THIS lace trim cami :)"
"17929","Love THAT beautiful coral top! Those frills!"
"17930","Love this!"
"17931","THAT cute coral top <ed><U+00A0><U+00BD><ed><U+00B2><U+009E> #WINIT"
"17932","Definitely this <ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>"
"17933","Loving the lace trim cami"
"17934","That live the colour great giveaway #winit :)"
"17935","THAT cute coral <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"17936","That, looks lovely"
"17937","This will go with everything xx"
"17938","THIS <U+2764><U+FE0F>"
"17939","This is beautiful <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17940","Love them both but love the white one"
"17941","This - please."
"17942","CORAL. Love the frills and off the shoulder <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17943","Love both but would have to go THIS for the straps!! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"17944","I love the colour and style of THAT"
"17945","That x"
"17946","THIS please x"
"17947","That, totally loving the whole look :)"
"17948","That   Fingers crossed"
"17949","THIS lace trim cami"
"17950","THIS lace trim cami - its so pretty!"
"17951","This love it on trend colours  so stylish"
"17952","I love this"
"17953","THIS lace trim cami for me!"
"17954","THAT cute coral <3"
"17955","Lace trim Cami <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"17956","THIS x"
"17957","THAT please <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> xx Absolutely gorgeous <ed><U+00A0><U+00BD><ed><U+00B2><U+0098> xxx"
"17958","THAT please, super cute! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17959","That coral top is fab"
"17960","THAT cute coral top x"
"17961","This Wow I love it simple yet perfect.#WINIT"
"17962","THIS <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"17963","LOVE this."
"17964","Coral <U+2665><U+FE0F>"
"17965","That !"
"17966","THIS please"
"17967","This lace trim cami for me please <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"17968","THIS lace Cami"
"17969","That very pretty love the colour  x"
"17970","THAT please"
"17971","THAT for me, please."
"17972","THAT please . I love the colour <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"17973","THIS. Love lace :-)"
"17974","THIS."
"17975","THAT coral top"
"17976","THIS is lovely. <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"17977","THIS WINIT <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"17978","THIS Lace cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17979","THIS top looks fab xx"
"17980","this please"
"17981","Can I pick both <ed><U+00A0><U+00BD><ed><U+00B9><U+0088> I will go for THIS as I am a sucker for Lace <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17982","#This love it"
"17983","This Cami"
"17984","this 
Love it x"
"17985","That...it's lovely x"
"17986","This lace Cami is lovely"
"17987","That love the colour x"
"17988","This definitley"
"17989","This <U+2764><U+FE0F>"
"17990","THIS would go with many things  <U+2661>"
"17991","This os beautifull"
"17992","Love both tops but love Coral in summer with s tan xx"
"17993","Cute coral top xx"
"17994","That <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"17995","This lace trim cami"
"17996","This please! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17997","THIS lace trim cami  <3"
"17998","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"17999","This a fab summer top x"
"18000","White lace trim cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> fab!"
"18001","Lace trim cami!"
"18002","This 
Thanks for the Chance
xx"
"18003","THAT cute coral top is lovely  <3 x"
"18004","That! Love the coral pink"
"18005","THAT coral top.. love the colour <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18006","That coral top :)"
"18007","This lace trimmed cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18008","THIS for me"
"18009","THIS :)"
"18010","Coral top lovely"
"18011","I love the lace trimmed cami so pretty"
"18012","That please it's gorgeous."
"18013","Both fab but would go for the coral <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"18014","This please<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"18015","This please"
"18016","THIS top is fab for summer and very very cute xxx"
"18017","THAT Coral <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>"
"18018","THIS lace trim cami"
"18019","THIS lace cami is gorgeous!<ed><U+00A0><U+00BD><ed><U+00B2><U+0093><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"18020","This please x"
"18021","That! Bring on the sun <U+2600><U+FE0F>"
"18022","I love THIS lace trim cami"
"18023","THIS! But I love them both <3"
"18024","THIS! Definitely! It looks so cool! x"
"18025","THIS <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BC><ed><U+00BC><U+009E> Great for the weather at the moment <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"18026","This liked shared lovely giveaway <ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"18027","THIS lace trim cami I am loving very much."
"18028","That <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"18029","That please"
"18030","This please so modern"
"18031","This!!!! <U+2764><U+2764><U+2764>"
"18032","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"18033","This lace cami!"
"18034","I love the This lace trim cami #winit"
"18035","Love THIS lace <U+2764><U+FE0F>"
"18036","That xx"
"18037","THIS Lace trim cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Liked and shared"
"18038","Love the Lace Trim Cami"
"18039","THIS lace trim cami <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"18040","This 

Love it"
"18041","THAT <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"18042","Lace trim cami liked and shared"
"18043","This! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18044","THIS lace trim Cami"
"18045","THIS, very cute"
"18046","That X. Coral top"
"18047","Love the lace trim cami <U+2764><U+2764>"
"18048","This. Love both the top and trousers."
"18049","This please"
"18050","That!"
"18051","THAT!"
"18052","This <U+2764><U+2764><U+2764><U+2764>"
"18053","THAT
<U+2600><U+2600><U+2600><U+2600><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"18054","This - lovely summery top"
"18055","this for me liked and shared thankyou <ed><U+00A0><U+00BD><ed><U+00B2><U+009E> <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>"
"18056","That please, love!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"18057","Pretty lace one <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18058","THIS <U+2764>"
"18059","That x"
"18060","I love coral favourite colour"
"18061","This please ! :)"
"18062","THAT cute coral top. But I really like both!"
"18063","THIS lace cami - would look great with a tan <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"18064","THIS lace trim cami"
"18065","THIS!"
"18066","This lace trim cami"
"18067","I <U+2764><U+FE0F> THAT cute coral top!!!!!!!!"
"18068","THAT coral top #WINIT <U+2764><U+2764>"
"18069","That <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"18070","THIS xx"
"18071","That cute coral top fab for the summer <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"18072","This :)"
"18073","THIS lace trim Cami <ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"18074","THIS Lace trim too is perfect xx"
"18075","I don't know! Both are lovely x"
"18076","THIS would go with anything <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>"
"18077","That<ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"18078","THAT gorgeous colour"
"18079","That xxx"
"18080","Love THIS lacy trim cami .... thank you x"
"18081","This this my favourite xx"
"18082","THIS lace trim cami"
"18083","This lace cami trim #winit"
"18084","The cute coral top is so my style"
"18085","THIS... love the cami and the pants"
"18086","THAT cute coral top please <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18087","This love the top!!"
"18088","THIS lace trim cami, so cute :-)"
"18089","THAT it is a lovely colour"
"18090","THIS lace trim cami"
"18091","This <U+2764><U+2764><U+2764><U+2764><U+2764>"
"18092","THAT <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"18093","THIS please ; difficult decision though <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"
"18094","love THAT <3"
"18095","THAT!"
"18096","THAT coral cami please"
"18097","My wife would go for That . Lovely"
"18098","Lace trim Cami <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"18099","THAT <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"18100","THAT cute coral top <3"
"18101","THAT cute coral top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18102","THIS for me <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"18103","This lace trim Cami <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"18104","This lace trim Cami <U+2764><U+FE0F>"
"18105","THAT cute coral top! #WINIT"
"18106","This.  Looks fab x"
"18107","This.....beautiful x"
"18108","Both are lovely but I like     THAT coral top <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #winit xx"
"18109","THIS lace top...just in time for summer! #WINIT <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"18110","That coral top! I love the color!"
"18111","THIS love a cute Lacey cami"
"18112","I Love THIS lace trim cami top xx"
"18113","This I would love to win this x"
"18114","I would love to win that x"
"18115","Lovin this"
"18116","THAT! Please xx"
"18117","THIS lace trim cami! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"18118","THAT coral top xx"
"18119","THIS lace cami! <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"18120","That cute coral top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18121","THIS lace trim cami!"
"18122","THIS lace trim cami!"
"18123","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18124","Coral top"
"18125","I love THIS and THAT !  Would love to win either <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"18126","Love This <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"18127","This x"
"18128","THAT coral top"
"18129","THIS!"
"18130","THIS lace trim cami"
"18131","This lace cami"
"18132","I prefer THAT coral top"
"18133","This. So pretty xx"
"18134","THIS <U+2764><U+FE0F>"
"18135","Lace trim cami <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> xx"
"18136","This <ed><U+00A0><U+00BD><ed><U+00B1><U+00AD>"
"18137","This! The white one is so cute"
"18138","This! Lace trim cami is lovely"
"18139","THAT. Love the colour."
"18140","This for me fingers crossed xxx"
"18141","THIS white lace cami top. Just right for the summer"
"18142","THIS lace trim cami top is lovely for the summer <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>"
"18143","This lace trim came for me"
"18144","THIS! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>so cute <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"18145","That Coral Top <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"18146","THAT please.!"
"18147","This x"
"18148","Love THIS!"
"18149","That!! Xx"
"18150","THIS lace trim Cami <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18151","Both? Tough choice but THIS just pips it"
"18152","Lace trim please!!"
"18153","THIS lace trim cami! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"18154","That
#WinIt
#OasisFashion <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"18155","That. X"
"18156","Amazing prize! THAT"
"18157","THIS please :D"
"18158","That."
"18159","That Coral
<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC>
Both beautiful xx"
"18160","THIS Lace Trim Cami"
"18161","This lace trim cami x"
"18162","THIS lace trim cami <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"18163","this today"
"18164","Coral top is lush"
"18165","That<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18166","THIS <U+2764><U+FE0F>"
"18167","Lace trim cami! Gorgeous!"
"18168","This <U+2764><U+FE0F>"
"18169","Love the lace trim Cani Top <U+2764><U+FE0F> Oasis Fashion!"
"18170","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18171","This, only slightly over that!"
"18172","Love this the top is lovely #WINIT"
"18173","This! Love the lace trim Cami!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18174","THIS! it's perfect for holidays z"
"18175","THAT xx"
"18176","THIS please"
"18177","THAT! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"18178","That #winit"
"18179","Both gorgeous, but I <U+2764> THIS Cami! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BD><U+0080> #WINIT"
"18180","Loving THAT coral top beautiful style and colour <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18181","Love both but THAT would be my favourite <ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18182","Lace trim camisole for me x"
"18183","Lace trim please!! X"
"18184","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18185","lace trimed cami please"
"18186","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"18187","THAT cute coral top <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"18188","THIS is my favourite"
"18189","THAT coral top"
"18190","Love the coral pink!!"
"18191","This!"
"18192","that cute coral top x"
"18193","Love both of them but it will have to be that coral top"
"18194","That x"
"18195","That coral"
"18196","This xxx"
"18197","Love This <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"18198","This"
"18199","THAT beaut coral top! Xx"
"18200","#winit  the white one but love them both."
"18201","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18202","This <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"18203","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18204","THAT <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"18205","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18206","this is just a fabulous outfit."
"18207","THIS lace came is lovely #WINIT"
"18208","That cute coral top <U+2764> gorgeous colour x"
"18209","I would wear either. If I won THAT I would buy THIS also <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"18210","THIS Lace trim top please."
"18211","This!"
